,Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre
595,"The Son of Neptune: The Heroes of Olympus, Book 2",Rick Riordan,4.7,3478.0,888,"Penguin presents, this downloadable, unabridged audiobook edition of the second title in this number one, bestselling spin-off series from Percy Jackson creator, Rick Riordan. This crazy messed up world of gods and monsters is Percy Jackson's reality, which pretty much sucks for him. Percy Jackson, son of Poseidon, God of the Sea, has woken from a very deep sleep and come face to face with two snake-haired ladies who refuse to die.",13 hours and 28 minutes,",            5 star,          ,            ,              79%,            ,          "
596,Mann ke Chamtkar [Miracles of Your Mind],Dr. Joseph Murphy,4.1,114.0,233,"इस पुस्तक में सेल्फ-हेल्प के सिद्धहस्त गुरु जोसफ़ मर्फी अपने इस विचार को विस्तार से बताते हैं कि हमारे अवचेतन के भीतर ऐसी शक्तियाँ सोई पड़ी हैं, जो हमारे जीवन को बेहतर बना सकती हैं I वे स्पष्ट करते हैं कि हमारे मन की, ख़ास तौर पर अवचेतन मन की, इस शक्ति का दोहन कैसे किया जाए I वे बताते हैं की हम अपने विचारों और कार्यों की प्रोग्रामिंग के लिए अवचेतन मन को सकारात्मक दिशा कैसे दिखा सकते हैं, ताकि यह हमें सफलता की ओर ले जाए I ",2 hours and 2 minutes,",#1,247 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#201 in Personal Success,#2,837 in Personal Development & Self-Help"
597,"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking",S.J. Scott,4.4,978.0,501,"Feel overwhelmed by your thoughts? Struggling with anxiety about your daily tasks? Or do you want to stop worrying about life? The truth is we all experience the occasional negative thought. But if you always feel overwhelmed, then you need to closely examine how these thoughts are negatively impacting your lifestyle. ",3 hours and 16 minutes,",#941 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Stress Management,#40 in Science,#41 in Business Motivation & Self-Improvement"
598,Discover Your Destiny (Hindi): With the Monk who sold his Ferrari,Robin Sharma,4.2,28.0,668,"Like the four other best-selling books that fueled the worldwide Monk Who Sold His Ferrari phenomenon, Discover Your Destiny is written as a rich and rewarding fable. Listeners are introduced to Dar Sanderson, a 43-year-old human resources manager who has a good job, a nice home, and a steady income. ",9 hours and 59 minutes,",#1,813 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#269 in Personal Success,#3,811 in Personal Development & Self-Help"
599,The Prodigal Daughter,Jeffrey Archer,4.042091434576984,1481.8928778228142,323,"From the world's biggest selling author, comes this thrilling story. The magnificent saga of Kane and Abel continues. Hers was the ultimate ambition...",14 hours and 35 minutes,",          5 star,        ,          (0%),        ,          ,            0%,          ,        "
600,The Testaments,Margaret Atwood,4.6,1481.8928778228144,1093,Winner of the Booker Prize 2019 The British Book Awards Audiobook of the Year 2020,13 hours and 18 minutes,",#1,330 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Dystopian Science Fiction,#82 in Literary Fiction,#272 in Science Fiction (Books)"
601,The Psychology Book: Big Ideas Simply Explained,DK,4.6,1061.0,1256,"Explore the history, theories, and concepts of psychology through more than 100 groundbreaking ideas presented in an approachable style that demystifies an often daunting subject matter.",16 hours,",#581 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in History of Psychology,#3 in Social Psychology,#6,311 in Textbooks & Study Guides"
602,Ashoka the Great,Wytze Keuning,4.5,65.0,1338,"Ashoka the Great chronicles the life of Emperor Ashoka. It is fictional biography and more accurately can be called historical fiction. The original Dutch version was a trilogy, published separately in three volumes. The trilogy was written between1937 and 1947 by a Dutch scholar, Wytze Keuning, in Groningen in the Netherlands. These three volumes - Ashoka: The Wild Prince, Book I; Ashoka: The Wise Ruler, Book II; and Ashoka: The World's Great Teacher, Book III - are now brought together and presented in this single volume, Ashoka the Great. ",43 hours and 39 minutes,",#846 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Ancient History (Audible Audiobooks & Originals),#9 in Historical Biographies,#12 in Indian History (Audible Audiobooks & Originals)"
603,The Perfect Swing,James McGirk,4.042091434576984,1481.8928778228142,0,"Hear singer, songwriter, and actor Nick Jonas lend his voice to the history of one of his favorite subjects: baseball. ",37 minutes,",#60 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Sleep Disorders"
604,The Man Who Mistook His Wife for a Hat,Oliver Sacks,4.5,1715.0,323,"With an introduction by Will Self. A classic work of psychology, this international best seller provides a groundbreaking insight into the human mind.",9 hours and 33 minutes,",#1,134 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Neuroscience & Neuropsychology,#14 in Physical Illness & Disease,#18 in Mental Health (Audible Audiobooks & Originals)"
605,Poonachi: Or the Story of a Black Goat,Perumal Murugan,4.6,310.0,501,"Through a seeming act of providence, an old couple receives a day-old female goat kid as a gift from the cosmos. Thus begins the story of Poonachi, the little orphan goat.  ",4 hours and 58 minutes,",#1,692 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Animal Fiction,#104 in Literary Fiction,#9,161 in Literature & Fiction (Books)"
606,Thinking in Systems: A Primer,Donella H. Meadows,4.6,706.0,668,"In the years following her role as the lead author of the international best seller, Limits to Growth - the first book to show the consequences of unchecked growth on a finite planet - Donella Meadows remained a pioneer of environmental and social analysis until her untimely death in 2001. ",6 hours and 26 minutes,",#1,151 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Sustainable Development,#15 in Business Development (Audible Audiobooks & Originals),#16 in Organisational Behaviour"
607,Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,4.042091434576984,54.0,615,"James Purefoy stars in this BBC Radio 4 full-cast dramatisation of Robert M. Pirsig's multi-million best-selling philosophical novel. One of the most important and influential books of the past half-century, Zen and the Art of Motorcycle Maintenance tells the iconic story of a father and son's motorcycle trip across America in the 1960s. Yet it also describes a personal and philosophical journey, asking questions along the way about how to live a meaningful life. ",1 hour and 40 minutes,",#763 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#41 in Classic Literature,#784 in Classic Fiction (Books)"
608,HBR’s 10 Must Reads on Emotional Intelligence,Harvard Business Review,4.6,216.0,668,"In his defining work on emotional intelligence, best-selling author Daniel Goleman found that it is twice as important as other competencies in determining outstanding leadership. If you listen to nothing else on emotional intelligence, listen to these 10 articles by experts in the field. We've combed through hundreds of articles in the Harvard Business Review archive and selected the most important ones to help you boost your emotional skills - and your professional success. This book will inspire you to: ",5 hours and 29 minutes,",#639 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Non-Profits & Charities,#8 in New Business Enterprises,#10 in Small Businesses"
609,The Sherlock Holmes Collection,Arthur Conan Doyle,4.3,1877.0,99,"Sherlock Holmes is a fictional detective of the late 19th and early 20th centuries, who first appeared in publication in 1887. He is the creation of Scottish born author and physician Sir Arthur Conan Doyle. A brilliant London-based detective, Holmes is famous for his intellectual prowess, and is renowned for his skillful use of deductive reasoning (somewhat mistakenly - see inductive reasoning) and astute observation to solve difficult cases. He is arguably the most famous fictional detective ever created, and is one of the best known and most universally recognizable literary characters in any genre.",67 hours and 44 minutes,",#1,540 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Mystery Anthologies & Short Stories,#9 in Traditional Detective Mysteries,#686 in Short Stories (Books)"
610,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2546.0,754,"Building a cohesive team is not complicated, declares Lencioni. Departing from the dry, theoretical writing of many management books, he presents his case in the context of a fictional organization, and in doing so succeeds at communicating his ideas. The scenarios are recognizable and can be applied anywhere teamwork is involved, whether it is a multinational company, a small department within a larger organization, or a sports team. At the end of the story, the main points are summarized, and clearly expressed suggestions and exercises are offered to help bring about change. Concise and easy to follow, this program is recommended for anyone who is a member of a team that needs improvement.",3 hours and 42 minutes,",#850 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Leadership,#55 in Business Management,#1,360 in Analysis & Strategy"
611,How the Onion Got Its Layers,Sudha Murty,4.2,41.0,200,Have you noticed how the onion has so many layers? And have you seen your mother's eyes water when she cuts an onion? Here is a remarkable story to tell you why.,11 minutes,",#701 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Children's Studies Social Science,#13 in Fairy Tales, Folk Tales & Myths for Children,#15 in Fantasy & Magic for Children"
612,Humankind: A Hopeful History,Rutger Bregman,4.7,669.0,759, ,11 hours and 36 minutes,",#900 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Ethics & Morality Philosophy,#10 in Free Enterprise,#31 in Economics (Audible Audiobooks & Originals)"
613,A Room of One's Own: Penguin Classics,Virginia Woolf,4.4,637.0,615,Brought to you by Penguin.   ,4 hours and 17 minutes,",#1,222 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Women's Studies,#819 in Society & Culture (Books)"
614,"Muscular India: Masculinity, Mobility & the New Middle Class",Michiel Baas,5.0,1.0,668,"The gyms of urban ‘new India’ are intriguing spaces. While they cater largely to well-off clients, these shiny, modern institutions are also vehicles of upward mobility for the trainers and specialists who work there. As they learn English, ‘upgrade’ their dressing style and try to develop a deeper understanding of the lives of their upmarket customers., they break with an older kind of masculinity represented by the pehlwans in their akharas. Equally, the gym aspires to be a safe space for women - a break from the toxic masculinity they must deal with outside its walls.",8 hours and 27 minutes,",#280 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Sports & Outdoors (Audible Audiobooks & Originals),#4 in Popular Culture Studies,#6 in Bodybuilding & Weightlifting"
615,101 Panchatantra Stories,Om Books International,4.1,237.0,233,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too! ",2 hours and 26 minutes,",#1,059 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Contemporary Fiction (Audible Audiobooks & Originals),#16 in Fiction Short Stories,#451 in Short Stories (Books)"
616,Those Pricey Thakur Girls,Anuja Chauhan,4.1,192.0,1003,The new novel from the bestselling author of The Zoya Factor and Battle for Bittora. ,15 hours and 23 minutes,",#1,576 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#16 in Romantic Comedy,#18 in Contemporary Fiction (Audible Audiobooks & Originals),#2,142 in Crime, Thriller & Mystery (Books)"
617,Pachinko,Min Jin Lee,4.6,1481.8928778228144,949,"Yeongdo, Korea - 1911. In a small fishing village on the banks of the East Sea, a club-footed, cleft-lipped man marries a 15-year-old girl. The couple have one child: their beloved daughter, Sunja. ",18 hours and 14 minutes,",#552 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#30 in Literary Fiction,#1,017 in Contemporary Fiction (Books)"
619,A Prisoner of Birth,Jeffrey Archer,4.6,2287.0,323,You heard it here first: The unabridged edition of A Prisoner of Birth is only available as a download.,16 hours and 22 minutes,",#1,725 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#55 in Suspense,#382 in Literature & Fiction (Audible Audiobooks & Originals),#2,368 in Crime, Thriller & Mystery (Books)"
620,Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,4.4,262.0,668,"UP 65 is Nikhil Sachan's third book after remarkable success of Namak Swadanusar and Zindagi Aais Pais. As Nikhil says, the book is a giveback to Banaras and BHU for all that these two places have given him. ",5 hours and 55 minutes,",#673 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Contemporary Romance (Audible Audiobooks & Originals),#42 in Literary Fiction,#841 in Romance (Books)"
621,My India,Jim Corbett,4.7,65.0,668,A famous hunter. A legendary storyteller. A simple man. ,7 hours and 3 minutes,",#695 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#75 in Biographies & Memoirs (Audible Audiobooks & Originals),#834 in Biographies & Autobiographies (Books)"
622,The Code of the Extraordinary Mind by Vishen Lakhiani - Book Summary,Dean Bokhari,4.042091434576984,1481.8928778228142,117,Book summary of The Code of The Extraordinary Mind by Vishen Lakhiani.,37 minutes,",#732 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#136 in Personal Success,#1,777 in Personal Development & Self-Help"
623,The Candlestick Course,Steve Nison,4.6,203.0,586,Expert instruction on the practical applications of candlestick charting ,4 hours and 24 minutes,",#555 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#17 in Economics (Audible Audiobooks & Originals),#36 in Investing & Trading,#273 in Economics Books"
624,"Diary of a Wimpy Kid: Diary of a Wimpy Kid, Book 1",Jeff Kinney,4.6,1481.8928778228144,410,Brought to you by Puffin.,2 hours and 19 minutes,",#1,467 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Humorous Fiction for Children,#2,553 in Children's Literature & Fiction (Books)"
625,The IndiGo Story: Inside the Upstart that Redefined Indian Aviation,Shelley Vishwajeet,4.1,51.0,668,"The IndiGo Story is a fascinating analysis of the manner in which an unknown entity entered the perilous Indian sky and became its undisputed leader both in terms of market share and profitability. Lucidly written and sharply argued, this book highlights the company’s formative years as a fearless start-up and its evolution into one of India’s most game-changing, profitable brands. ",6 hours and 11 minutes,",#1,776 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#92 in Leadership,#454 in Industries,#2,792 in Analysis & Strategy"
626,Jane Eyre,Charlotte Bronte,4.5,1481.8928778228144,1338,"""I think the reason we're so struck by [Jane Eyre] is how Charlotte Brontë manages to relate, expertly, what it means to be a human being...and that never changes."" (Narrator Thandie Newton) ",19 hours and 10 minutes,",#1,546 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#76 in Classic Literature,#1,545 in Classic Fiction (Books)"
627,Sahaj Yog,OSHO,4.5,2.0,670,"Siddhon ka ek mahaan sandesh, 'Jaago', Osho ki vaani dwara in pravachanon mein aur bhi adhik mukharit hua hai. Osho kehte hain: 'Jaago, man jaagran ki bela! Aur jaagran ki bela hamesha hai. Aisa koi khsan nahi jab tum jaag na sako. Aisa koi pal nahi jab tum palak na khol sako. Aankh band kiye ho yah tumhaara nirnay hai. Aankh kholna chaho to isi khsan kraanti ghat sakti hai. ",37 hours and 10 minutes,",#371 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#13 in Meditation (Audible Audiobooks & Originals),#1,036 in Personal Development & Self-Help"
628,The Real Book of Real Estate: Real Experts. Real Stories. Real Life.,Robert T. Kiyosaki,4.5,224.0,586,"In a world where too many financial advisors do not follow their own advice, here is a book written by experts who practice what they teach and who will teach you to thrive, not merely survive, during turbulent economic times. This is the real deal...The Real Book of Real Estate. ",17 hours and 53 minutes,",#1,879 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Real Estate Investing & Finance,#8 in Money Management,#58 in Business Careers"
629,An Unsuitable Boy,Karan Johar,3.9,868.0,1256,"Karan Johar is synonymous with success, panache, quick wit, and outspokenness, which sometimes inadvertently creates controversy and makes headlines. KJo, as he is popularly called, has been a much-loved Bollywood film director, producer, actor, and discoverer of new talent. With his flagship Dharma Production, he has constantly challenged the norms, written and rewritten rules, and set trends.",8 hours and 39 minutes,",#977 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Film & TV,#17 in Literary Essays,#82 in Cinema & Broadcast (Books)"
630,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,4.6,514.0,683,Random House presents the audiobook edition of The Making of a Manager by Julie Zhuo.,7 hours and 32 minutes,",#1,433 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#51 in Business Motivation & Self-Improvement,#75 in Leadership,#2,309 in Analysis & Strategy"
